Speaker,Token,Pitch,Time,Sex,YOB,Tone
23,maw6,189,0.5,F,1967,5
23,maw6,201,0.75,F,1967,5
23,maw6,219,1,F,1967,5
24,ma1,199,0,F,1954,1
24,ma1,197,0.25,F,1954,1
24,ma1,192,0.5,F,1954,1
24,ma1,197,0.75,F,1954,1
24,ma1,192,1,F,1954,1
24,ma2,178,0,F,1954,6
24,ma2,163,0.25,F,1954,6
24,ma2,155,0.5,F,1954,6
24,ma2,152,0.75,F,1954,6
24,ma2,155,1,F,1954,6
24,maj3,179,0,F,1954,2
24,maj3,186,0.25,F,1954,2
24,maj3,180,0.5,F,1954,2
24,maj3,175,0.75,F,1954,2
24,maj3,159,1,F,1954,2
24,maj4,217,0,F,1954,3
24,maj4,234,0.25,F,1954,3
24,maj4,232,0.5,F,1954,3
24,maj4,205,0.75,F,1954,3
24,maj4,164,1,F,1954,3
24,maj5,171,0,F,1954,4
24,maj5,159,0.25,F,1954,4
24,maj5,176,0.5,F,1954,4
24,maj5,189,0.75,F,1954,4
24,maj5,181,1,F,1954,4
24,maw6,190,0,F,1954,5
24,maw6,178,0.25,F,1954,5
24,maw6,173,0.5,F,1954,5
24,maw6,182,0.75,F,1954,5
24,maw6,196,1,F,1954,5
